　情報セキュリティでは，＿＿＿，＿＿＿，＿＿＿をまとめてCIAと呼ぶ。機密性は，許可された人だけが情報へアクセスできる性質であり，完全性は，情報が正確で改ざんされていない性質である。可用性は，必要なときに情報やシステムを利用できる性質である。これらは互いに独立ではなく，例えば認証を強くしすぎると＿＿＿。,"機密性
完全性
可用性
可用性が低下する場合がある"
"　＿＿＿は，利用者が誰であるかを確認する仕組みであり，＿＿＿は，認証された利用者が何をしてよいかを決める仕組みである。例えばログイン処理では，IDとパスワードで＿＿＿し，その後に管理画面へアクセスできるかを判断する。
　多要素認証では，知識情報，所持情報，生体情報など，異なる種類の要素を組み合わせる。

　パスワードだけに依存しないため，＿＿＿。","認証
認可
本人であることを確認
漏えいしたパスワードだけでは侵入されにくくなる"
　共通鍵暗号では，暗号化と復号に＿＿＿。処理は高速だが，事前に鍵を安全に共有する必要がある。公開鍵暗号では，暗号化と復号に＿＿＿。鍵共有の問題を軽減できるが，共通鍵暗号より処理が重い。ハッシュ関数は，入力データから固定長の値を生成する。同じ入力からは同じ値が得られ，逆算が困難であるため，パスワード保存では＿＿＿目的で使われる。,"同じ鍵を使う
異なる鍵を使う
平文パスワードそのものを保存しない"
　品質管理では，完成品だけを確認するのではなく，工程の途中で問題を発見することが重要である。＿＿＿は，できあがった成果物が基準を満たしているかを確認する活動であり，＿＿＿は，成果物を作り込む途中で第三者が内容を確認する活動である。対義的に，レビューを行わない開発では＿＿＿。,"検査
レビュー
問題が後工程まで残りやすく，修正コストが増える"
　PDCAは，＿＿＿，＿＿＿，＿＿＿，＿＿＿を繰り返す考え方である。一度だけ改善して終わるのではなく，＿＿＿ことに意味がある。評価のためには，感覚ではなく＿＿＿。例として，欠陥密度，レビュー指摘件数，テスト成功率などがある。,"計画
実行
評価
改善
継続的に改善を回し続ける
測定可能な指標を使う"
　正規化は，データの重複や更新時の不整合を減らすために表を整理する考え方である。第1正規形では，1つのセルに複数の値を入れず，＿＿＿。第2正規形では，主キーの一部だけに依存する属性を分離し，＿＿＿。第3正規形では，主キー以外の属性に依存する属性を分離し，＿＿＿。,"値を原子的に扱う
部分関数従属を取り除く
推移的関数従属を取り除く"
　トランザクションは，複数の処理を1つのまとまりとして扱う仕組みである。ACID特性には，＿＿＿，＿＿＿，＿＿＿，＿＿＿がある。原子性とは，処理がすべて実行されるか，＿＿＿性質であり，永続性とは，コミットされた結果が障害後も＿＿＿性質である。,"原子性
一貫性
独立性
永続性
まったく実行されなかった状態に戻る
失われずに保存される"
　TCP/IPの階層モデルでは，上位層が下位層の機能を利用して通信する。アプリケーション層では，＿＿＿や＿＿＿などのプロトコルが使われる。トランスポート層では，TCPとUDPが代表的であり，TCPは＿＿＿，UDPは＿＿＿。IPアドレスはネットワーク上の機器を識別するために使われ，＿＿＿ための情報になる。,"HTTP
DNS
コネクションを確立して信頼性のある通信を行う
コネクションを確立せず，低遅延な通信に向く
宛先までパケットを届ける"
"　DNSは，ドメイン名とIPアドレスを対応付ける仕組みである。例えば `example.com` にアクセスするとき，まず＿＿＿。キャッシュを使うと問い合わせ回数を減らせるが，古い情報が残ると＿＿＿場合がある。
　TTLはキャッシュを保持してよい時間を示す。

　TTLを短くすると変更は反映されやすいが，＿＿＿。TTLを長くすると負荷は下がるが，＿＿＿。","ドメイン名からIPアドレスを調べる
変更後のIPアドレスへすぐに切り替わらない
問い合わせ回数が増えてDNSサーバの負荷が上がる
古い名前解決結果が残りやすくなる"
　プロセスは，実行中のプログラムをOSが管理する単位である。スレッドは，プロセス内で実行される処理の流れであり，同じプロセス内の資源を共有する。排他制御では，複数の処理が同時に共有資源へアクセスして不整合を起こさないようにする。＿＿＿は，1つの処理だけが共有資源へ入れるようにする仕組みであり，＿＿＿は，利用可能な資源数をカウンタで管理し，複数個の資源を扱えるようにする仕組みである。どちらも便利だが，使い方を誤ると＿＿＿。,"ミューテックス
セマフォ
デッドロックやスタベーションが発生する"
　仮想記憶では，実メモリより大きなアドレス空間をプロセスへ見せる。ページングでは，メモリを固定長のページに分けて管理する。ページフォールトは，参照したページが主記憶上にないときに発生する。ページフォールトが発生すると，OSは＿＿＿。参照の局所性とは，プログラムが短い時間では＿＿＿傾向である。,"必要なページを補助記憶装置から読み込む
限られた範囲の命令やデータを繰り返し参照する"
　モジュール分割では，機能を適切な単位へ分けることで理解しやすさと変更しやすさを高める。＿＿＿は，1つのモジュール内部の要素がどれだけ関連しているかを表し，＿＿＿は，モジュール同士がどれだけ依存しているかを表す。よい設計では，一般に＿＿＿。ただし，分割しすぎると＿＿＿ため，読みやすさが下がる場合もある。,"凝集度
結合度
凝集度を高くし，結合度を低くする
小さな変更でも多くのファイルを追う必要がある"
　例外処理は，通常の処理とは異なる異常系を扱うための仕組みである。例外を握りつぶすと，＿＿＿。逆に，すべての例外をそのまま上位へ投げるだけでは，＿＿＿。そのため，例外は＿＿＿ことが重要である。,"失敗したことが呼び出し元に伝わらない
どこで回復すべきかが分かりにくくなる
意味のある単位で捕捉し，必要な情報を残して扱う"
　要件定義では，利用者が本当に必要としているものを明確にする。ヒアリングでは，利用者が言葉にした要望だけでなく，背景にある目的も確認する。＿＿＿は，システムが何をするかを表す要件であり，＿＿＿は，性能，信頼性，保守性，セキュリティなど，システムがどのように振る舞うべきかを表す要件である。非機能要件は後から追加すると設計全体に影響しやすいため，＿＿＿必要がある。,"機能要件
非機能要件
初期段階から制約として扱う"
　要件に「高速に」「使いやすく」のような表現だけを書くと，開発者と利用者で解釈がずれる。そのため，要件は可能な限り＿＿＿。例えば「画面表示を高速にする」ではなく，＿＿＿のように書く。ただし，数値だけを決めても利用者の目的に合わなければ意味がないため，＿＿＿。,"測定可能な基準で表現する
検索結果を2秒以内に表示する
数値目標と利用場面を合わせて確認する"
　探索アルゴリズムでは，目的のデータを見つけるためにデータ構造を調べる。線形探索は，先頭から順に要素を確認する方法であり，データが整列していなくても使える。二分探索は，整列済みのデータに対して中央の値と比較し，探索範囲を半分ずつ狭める。二分探索を使うには，＿＿＿必要がある。計算量は，線形探索が＿＿＿，二分探索が＿＿＿である。,"データがあらかじめ整列している
O(n)
O(log n)"
